127.0.0.1 - - [30/Mar/2020:05:46:24 +0530] "GET / HTTP/1.1" 404 1036
0:0:0:0:0:0:0:1 - - [30/Mar/2020:05:46:28 +0530] "GET /SpringContactApp/ HTTP/1.1" 200 2788
0:0:0:0:0:0:0:1 - - [30/Mar/2020:05:46:28 +0530] "GET /SpringContactApp/static/css/style.css;jsessionid=46AE2D822A3FB3BF4FF095C85073F770 HTTP/1.1" 200 397
0:0:0:0:0:0:0:1 - - [30/Mar/2020:05:46:28 +0530] "GET /SpringContactApp/static/images/bg.jpg;jsessionid=46AE2D822A3FB3BF4FF095C85073F770 HTTP/1.1" 200 66430
0:0:0:0:0:0:0:1 - - [30/Mar/2020:05:46:47 +0530] "GET /SpringContactApp/ HTTP/1.1" 200 2788
0:0:0:0:0:0:0:1 - - [30/Mar/2020:05:46:47 +0530] "GET /SpringContactApp/static/css/style.css;jsessionid=5130D6E95595E77B8C837310D7EC96E1 HTTP/1.1" 200 397
0:0:0:0:0:0:0:1 - - [30/Mar/2020:05:46:47 +0530] "GET /SpringContactApp/static/images/bg.jpg;jsessionid=5130D6E95595E77B8C837310D7EC96E1 HTTP/1.1" 200 66430
0:0:0:0:0:0:0:1 - - [30/Mar/2020:05:46:47 +0530] "GET /favicon.ico HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [30/Mar/2020:05:46:56 +0530] "GET /SpringContactApp/reg_form;jsessionid=5130D6E95595E77B8C837310D7EC96E1 HTTP/1.1" 200 4107
0:0:0:0:0:0:0:1 - - [30/Mar/2020:05:46:56 +0530] "GET /SpringContactApp/static/css/style.css HTTP/1.1" 200 397
0:0:0:0:0:0:0:1 - - [30/Mar/2020:05:46:56 +0530] "GET /SpringContactApp/static/js/jquery-3.2.1.min.js HTTP/1.1" 200 86659
0:0:0:0:0:0:0:1 - - [30/Mar/2020:05:46:56 +0530] "GET /SpringContactApp/static/images/bg.jpg HTTP/1.1" 200 66430
0:0:0:0:0:0:0:1 - - [30/Mar/2020:05:47:37 +0530] "POST /SpringContactApp/register HTTP/1.1" 500 17316
0:0:0:0:0:0:0:1 - - [30/Mar/2020:06:18:11 +0530] "GET /SpringContactApp/ HTTP/1.1" 200 2480
0:0:0:0:0:0:0:1 - - [30/Mar/2020:06:18:12 +0530] "GET /SpringContactApp/static/images/bg.jpg HTTP/1.1" 200 66430
0:0:0:0:0:0:0:1 - - [30/Mar/2020:06:18:12 +0530] "GET /SpringContactApp/static/css/style.css HTTP/1.1" 200 397
0:0:0:0:0:0:0:1 - - [30/Mar/2020:06:18:22 +0530] "GET /SpringContactApp/ HTTP/1.1" 200 2480
